Month,Revenue,Expenses,Net Income,Cash Flow,Accounts Receivable,Accounts Payable,Inventory,Total Assets,Total Liabilities
January,100000,50000,50000,200000,150000,100000,50000,1000000,500000
February,120000,60000,60000,250000,180000,120000,60000,1100000,600000
March,150000,70000,80000,300000,200000,150000,70000,1200000,700000
April,180000,80000,100000,350000,220000,180000,80000,1300000,800000
May,200000,90000,110000,400000,250000,200000,90000,1400000,900000
June,220000,100000,120000,450000,280000,220000,100000,1500000,1000000
July,250000,110000,140000,500000,300000,250000,110000,1600000,1100000
August,280000,120000,160000,550000,320000,280000,120000,1700000,1200000
September,300000,130000,170000,600000,350000,300000,130000,1800000,1300000
October,320000,140000,180000,650000,380000,320000,140000,1900000,1400000